Usuario,Aspecto Evaluado,Sentimiento IA,Confianza
juan_p,Calidad de Comida,POSITIVO,99.97%
juan_p,Atención del Personal,POSITIVO,99.95%
juan_p,Ambiente del Local,POSITIVO,99.97%
luisa_m,Calidad de Comida,POSITIVO,99.11%
luisa_m,Atención del Personal,POSITIVO,82.33%
luisa_m,Ambiente del Local,POSITIVO,95.46%
carlos_v,Calidad de Comida,NEGATIVO,98.17%
carlos_v,Atención del Personal,POSITIVO,92.52%
carlos_v,Ambiente del Local,POSITIVO,98.64%
marta_88,Calidad de Comida,NEGATIVO,99.95%
marta_88,Atención del Personal,NEGATIVO,99.96%
marta_88,Ambiente del Local,NEGATIVO,99.96%
diego_f,Calidad de Comida,POSITIVO,84.56%
diego_f,Atención del Personal,POSITIVO,93.32%
diego_f,Ambiente del Local,POSITIVO,83.03%
ana_sofia,Calidad de Comida,NEGATIVO,62.54%
ana_sofia,Atención del Personal,NEGATIVO,85.60%
ana_sofia,Ambiente del Local,POSITIVO,63.17%
pedro_g,Calidad de Comida,POSITIVO,96.62%
pedro_g,Atención del Personal,POSITIVO,95.37%
pedro_g,Ambiente del Local,POSITIVO,99.88%
rosa_l,Calidad de Comida,POSITIVO,69.86%
rosa_l,Atención del Personal,NEGATIVO,62.21%
rosa_l,Ambiente del Local,NEGATIVO,68.13%
jorge_t,Calidad de Comida,POSITIVO,99.03%
jorge_t,Atención del Personal,POSITIVO,99.66%
jorge_t,Ambiente del Local,POSITIVO,99.89%
lucia_k,Calidad de Comida,POSITIVO,99.21%
lucia_k,Atención del Personal,POSITIVO,99.91%
lucia_k,Ambiente del Local,POSITIVO,98.52%
